56,30;
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,
fd,bf,fd,bf,fd,bf,fd,bf,fd,bf,fd,bf,fd,bf,fd,bf,f8,00,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,f8,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,
fd,bf,fd,bf,fd,bf,fd,bf,fd,bf,fd,bf,fd,bf,fd,bf,f8,00,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,f8,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,fd,b5,fd,b5,f8,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,f8,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,f8,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,f8,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,fd,b5,
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,fd,b5,fd,b5,f8,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,f8,00,
